股票代號,股票名稱,持股股數_純數字,權重%,__NAV_VALUE
2330,台積電,9114000.0,9.39,212076376428.0
2383,台光電,4125000.0,8.7,212076376428.0
2308,台達電,6024000.0,5.89,212076376428.0
3653,健策,2267000.0,5.74,212076376428.0
3017,奇鋐,3902000.0,5.42,212076376428.0
3665,貿聯-KY,4097848.0,5.34,212076376428.0
2345,智邦,5231000.0,5.28,212076376428.0
2368,金像電,7748000.0,5.08,212076376428.0
8046,南電,11881000.0,4.9,212076376428.0
2454,聯發科,3867000.0,4.44,212076376428.0
6223,旺矽,1774000.0,3.89,212076376428.0
3037,欣興,9287000.0,3.46,212076376428.0
5274,信驊,351000.0,2.71,212076376428.0
6669,緯穎,1101000.0,2.41,212076376428.0
2327,國巨*,14288000.0,2.0,212076376428.0
3711,日月光投控,7654000.0,1.79,212076376428.0
6515,穎崴,368000.0,1.75,212076376428.0
6805,富世達,1698000.0,1.53,212076376428.0
6510,精測,875000.0,1.5,212076376428.0
6274,台燿,3019000.0,1.49,212076376428.0
2449,京元電子,10503000.0,1.42,212076376428.0
3661,世芯-KY,694000.0,1.38,212076376428.0
3189,景碩,5038000.0,1.25,212076376428.0
2303,聯電,30837000.0,1.08,212076376428.0
8358,金居,5558000.0,0.94,212076376428.0
2317,鴻海,6927000.0,0.72,212076376428.0
8210,勤誠,1051000.0,0.6,212076376428.0
6147,頎邦,7884000.0,0.54,212076376428.0
3443,創意,271000.0,0.52,212076376428.0
2404,漢唐,1091000.0,0.51,212076376428.0
5439,高技,2880000.0,0.5,212076376428.0
3264,欣銓,4896000.0,0.48,212076376428.0
8996,高力,535000.0,0.28,212076376428.0
7769,鴻勁,97000.0,0.22,212076376428.0
6191,精成科,3985000.0,0.2,212076376428.0
2481,強茂,3651000.0,0.17,212076376428.0
3211,順達,916000.0,0.16,212076376428.0
3376,新日興,1561000.0,0.16,212076376428.0
6415,矽力*-KY,660000.0,0.14,212076376428.0
4966,譜瑞-KY,370000.0,0.11,212076376428.0
3324,雙鴻,170000.0,0.1,212076376428.0
6488,環球晶,332000.0,0.09,212076376428.0
2313,華通,764000.0,0.08,212076376428.0
3217,優群,780000.0,0.07,212076376428.0
1303,南亞,1373000.0,0.06,212076376428.0
2002,中鋼,5160000.0,0.05,212076376428.0
1319,東陽,508000.0,0.02,212076376428.0
1815,富喬,107000.0,0.01,212076376428.0
2357,華碩,15000.0,0.0,212076376428.0
2439,美律,15000.0,0.0,212076376428.0
4979,華星光,1000.0,0.0,212076376428.0
5347,世界,61000.0,0.0,212076376428.0
_CASH,💎 現金,14740905754.0,6.95,212076376428.0
_GDM,💎 期貨保證金,500128241.0,0.24,212076376428.0
_PAY,💎 申贖應付款,0.0,0.0,212076376428.0
_APAR,💎 應收付證券款,-11033251389.0,-5.2,212076376428.0
